Title,URL,Number,Publish Date,Length,Views
Python Tutorial - Python Full Course for Beginners,https://www.youtube.com/watch?v=_uQrJ0TkZlc,1,2019-02-18,6:14:07,34073450
Learn Python Programming - Python Course,https://www.youtube.com/watch?v=f79MRyMsjrQ,2,2018-10-22,1:48:05,910700
Python Tutorials for Beginners - Learn Python Online,https://www.youtube.com/watch?v=yE9v9rt6ziw,3,2018-10-22,2:25:53,1036706
What is Python? Why Python is So Popular?,https://www.youtube.com/watch?v=Y8Tko2YC5hA,4,2018-10-22,4:07,1747727
Python Exercises for Beginners - Exercise #1,https://www.youtube.com/watch?v=ODjFDZC_TyA,5,2018-11-03,2:18,217475
How to Loop over Lists in Python,https://www.youtube.com/watch?v=9ueMumuFv6g,6,2018-11-03,3:21,121080
Python For Loops - Python Tutorial for Absolute Beginners,https://www.youtube.com/watch?v=94UHCEmprCY,7,2018-11-05,14:41,384775
Python Functions | Python Tutorial for Absolute Beginners #1,https://www.youtube.com/watch?v=u-OmVr_fT4s,8,2018-11-06,30:33,681529
Control Flow in Python - If Elif Else Statements,https://www.youtube.com/watch?v=Zp5MuPOtsSY,9,2018-11-06,16:08,220086
How to Use Lists in Python,https://www.youtube.com/watch?v=9OeznAkyQz4,10,2018-11-08,18:48,204338
How to Use Strings in Python - Python Tutorial for Beginners,https://www.youtube.com/watch?v=Ctqi5Y4X-jA,11,2018-11-09,16:45,165240
Python Stacks - Python Tutorial for Absolute Beginners | Mosh,https://www.youtube.com/watch?v=NKmasqr_Xkw,12,2018-11-13,4:51,110102
What are Sets in Python? Python Tutorial for Absolute Beginners | Mosh,https://www.youtube.com/watch?v=t9j8lCUGZXo,13,2018-11-14,4:30,54080
Map and Filter Functions in Python - Python Tutorial for Absolute Beginners | Mosh,https://www.youtube.com/watch?v=2qKQGqpRsks,14,2018-11-15,5:59,53718
How to Sort Lists in Python - Python Tutorial for Absolute Beginners | Mosh,https://www.youtube.com/watch?v=3Tcq_dBhIrQ,15,2018-11-16,6:53,74792
Python Variables - Python Tutorial for Beginners with Examples | Mosh,https://www.youtube.com/watch?v=cQT33yu9pY8,16,2018-11-12,6:35,134939
Python Practice - Interview Question - Fizz Buzz | Mosh,https://www.youtube.com/watch?v=z3-XFI_nXNM,17,2018-11-19,6:14,85604
Python for Beginners - Learn Python in 1 Hour,https://www.youtube.com/watch?v=kqtD5dpn9C8,18,2020-09-16,1:00:06,11978137
Python Machine Learning Tutorial (Data Science),https://www.youtube.com/watch?v=7eh4d6sabA0,19,2020-09-17,49:43,2094224
Python Django Tutorial for Beginners,https://www.youtube.com/watch?v=rHux0gMZ3Eg,20,2021-06-28,1:02:36,1672017
The 3 MOST IMPORTANT JAZZ SCALES and how similar they are.,https://www.youtube.com/watch?v=Dv08U6zjcKY,21,2021-06-29,10:52,51962
